name,language,stars,forks,creation_date,last_commit_date,repo_url
github-readme-stats,JavaScript,70089,23287,2020-07-09T10:34:22Z,2024-12-07T17:57:58Z,https://github.com/anuraghazra/github-readme-stats
ML-For-Beginners,HTML,70052,14617,2021-03-03T01:34:05Z,2024-11-24T08:38:44Z,https://github.com/microsoft/ML-For-Beginners
awesome-for-beginners,,69724,7024,2015-10-24T19:53:36Z,2024-12-03T23:26:19Z,https://github.com/MunGell/awesome-for-beginners
funNLP,Python,69674,14561,2018-08-21T11:20:39Z,2024-05-10T07:38:24Z,https://github.com/fighting41love/funNLP
vite,TypeScript,69176,6259,2020-04-21T05:03:57Z,2024-12-07T04:29:18Z,https://github.com/vitejs/vite
Front-End-Checklist,,69145,6456,2017-10-16T10:12:36Z,2024-10-20T21:43:27Z,https://github.com/thedaviddias/Front-End-Checklist
llama.cpp,C++,68913,9895,2023-03-10T18:58:00Z,2024-12-07T21:12:27Z,https://github.com/ggerganov/llama.cpp
moby,Go,68876,18676,2013-01-18T18:10:57Z,2024-12-07T22:38:31Z,https://github.com/moby/moby
code-server,TypeScript,68869,5659,2019-02-27T16:50:41Z,2024-12-01T12:55:52Z,https://github.com/coder/code-server
stable-diffusion,Jupyter Notebook,68663,10194,2022-08-10T14:36:44Z,2024-06-18T01:53:49Z,https://github.com/CompVis/stable-diffusion
node,Shell,68393,2591,2023-02-01T13:55:02Z,2024-11-28T19:12:12Z,https://github.com/base-org/node
nest,TypeScript,68274,7672,2017-02-04T20:12:52Z,2024-12-06T14:59:31Z,https://github.com/nestjs/nest
flask,Python,68265,16254,2010-04-06T11:11:59Z,2024-11-24T01:54:35Z,https://github.com/pallets/flask
reveal.js,JavaScript,68027,16662,2011-06-07T18:54:22Z,2024-11-28T13:53:29Z,https://github.com/hakimel/reveal.js
HowToCook,Dockerfile,67942,8764,2020-02-29T10:43:49Z,2024-12-04T06:34:59Z,https://github.com/Anduin2017/HowToCook
swift,C++,67710,10389,2015-10-23T21:15:07Z,2024-12-07T23:54:16Z,https://github.com/swiftlang/swift
playwright,TypeScript,67566,3722,2019-11-15T18:32:42Z,2024-12-07T00:43:27Z,https://github.com/microsoft/playwright
cs-video-courses,,67482,9150,2016-10-21T17:02:11Z,2024-09-13T17:54:44Z,https://github.com/Developer-Y/cs-video-courses
redis,C,67280,23824,2009-03-21T22:32:25Z,2024-12-05T09:14:53Z,https://github.com/redis/redis
devops-exercises,Python,66923,14946,2019-10-03T17:31:21Z,2024-08-31T08:15:03Z,https://github.com/bregman-arie/devops-exercises
awesome-machine-learning,Python,66259,14676,2014-07-15T19:11:19Z,2024-11-11T16:08:31Z,https://github.com/josephmisiti/awesome-machine-learning
gpt_academic,Python,66219,8128,2023-03-20T09:05:13Z,2024-12-07T15:43:52Z,https://github.com/binary-husky/gpt_academic
fzf,Go,66059,2408,2013-10-23T16:04:23Z,2024-12-08T00:02:16Z,https://github.com/junegunn/fzf
syncthing,Go,66039,4332,2013-11-26T09:48:21Z,2024-12-06T01:29:48Z,https://github.com/syncthing/syncthing
hoppscotch,TypeScript,65962,4582,2019-08-21T13:15:24Z,2024-12-06T09:30:58Z,https://github.com/hoppscotch/hoppscotch
protobuf,C++,65955,15532,2014-08-26T15:52:15Z,2024-12-07T21:03:14Z,https://github.com/protocolbuffers/protobuf
awesome-react,,65860,7235,2014-08-06T05:31:44Z,2024-12-06T20:56:37Z,https://github.com/enaqx/awesome-react
express,JavaScript,65830,17579,2009-06-26T18:56:01Z,2024-12-05T22:30:23Z,https://github.com/expressjs/express
generative-ai-for-beginners,Jupyter Notebook,65576,33601,2023-06-19T16:28:59Z,2024-12-03T13:48:52Z,https://github.com/microsoft/generative-ai-for-beginners
grafana,TypeScript,65409,12205,2013-12-11T15:59:56Z,2024-12-08T03:22:14Z,https://github.com/grafana/grafana
screenshot-to-code,Python,65003,7922,2023-11-14T17:53:32Z,2024-12-06T21:18:56Z,https://github.com/abi/screenshot-to-code
Chart.js,JavaScript,64942,11933,2013-03-17T23:56:36Z,2024-12-01T16:45:10Z,https://github.com/chartjs/Chart.js
webpack,JavaScript,64870,8871,2012-03-10T10:08:14Z,2024-12-06T04:02:57Z,https://github.com/webpack/webpack
system-design-101,,64865,6853,2023-09-18T20:52:03Z,2024-08-16T06:44:51Z,https://github.com/ByteByteGoHq/system-design-101
d2l-zh,Python,64216,11091,2017-08-23T04:40:24Z,2024-07-30T09:32:19Z,https://github.com/d2l-ai/d2l-zh
strapi,TypeScript,64108,8165,2015-09-30T15:34:48Z,2024-12-06T20:08:18Z,https://github.com/strapi/strapi
33-js-concepts,JavaScript,64001,8953,2018-09-04T13:27:04Z,2024-10-07T15:31:44Z,https://github.com/leonardomso/33-js-concepts
cpython,Python,63960,30608,2017-02-10T19:23:51Z,2024-12-07T17:58:42Z,https://github.com/python/cpython
Best-websites-a-programmer-should-visit,,63831,7901,2017-03-05T20:25:17Z,2024-12-06T06:38:13Z,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
interviews,Java,63702,12906,2017-02-14T18:19:25Z,2024-05-13T08:48:36Z,https://github.com/kdn251/interviews
Ventoy,C,63352,4109,2020-03-10T15:19:19Z,2024-11-16T09:02:51Z,https://github.com/ventoy/Ventoy
ansible,Python,63323,23931,2012-03-06T14:58:02Z,2024-12-06T16:15:18Z,https://github.com/ansible/ansible
superset,TypeScript,63216,14010,2015-07-21T18:55:34Z,2024-12-07T20:58:23Z,https://github.com/apache/superset
javascript-questions,,63050,8954,2019-06-12T08:26:27Z,2024-08-04T16:08:40Z,https://github.com/lydiahallie/javascript-questions
tesseract,C++,62961,9556,2014-08-12T18:04:59Z,2024-12-06T06:59:35Z,https://github.com/tesseract-ocr/tesseract
gpt4free,Python,62597,13422,2023-03-29T17:00:43Z,2024-12-08T03:34:19Z,https://github.com/xtekky/gpt4free
sway,Rust,62583,5371,2021-01-19T20:54:33Z,2024-12-07T23:33:52Z,https://github.com/FuelLabs/sway
the-algorithm,Scala,62541,12158,2023-03-27T14:57:57Z,2024-07-10T07:07:01Z,https://github.com/twitter/the-algorithm
keras,Python,62177,19492,2015-03-28T00:35:42Z,2024-12-06T16:31:27Z,https://github.com/keras-team/keras
resume.github.com,JavaScript,62030,1357,2011-02-06T13:39:55Z,2023-02-15T06:38:51Z,https://github.com/resume/resume.github.com
PayloadsAllTheThings,Python,61799,14749,2016-10-18T07:29:07Z,2024-12-04T11:10:42Z,https://github.com/swisskyrepo/PayloadsAllTheThings
imgui,C++,61611,10368,2014-07-21T14:29:47Z,2024-12-05T15:14:51Z,https://github.com/ocornut/imgui
socket.io,TypeScript,61321,10127,2010-03-11T18:24:48Z,2024-11-21T07:58:08Z,https://github.com/socketio/socket.io
awesome-public-datasets,,61304,9957,2014-11-20T06:20:50Z,2024-11-13T17:04:23Z,https://github.com/awesomedata/awesome-public-datasets
nocode,Dockerfile,61041,4717,2018-02-06T23:54:00Z,2024-08-07T03:19:12Z,https://github.com/kelseyhightower/nocode
redux,TypeScript,60947,15263,2015-05-29T23:53:15Z,2024-11-26T23:14:59Z,https://github.com/reduxjs/redux
